"id","cuisine","rating","review_count","recommended"
"""Py_oBQpNR8kMI3GbH-71Yg""","""American""",4.5,303,1
"""Ck09FempamAKGSPsV_bX-A""","""Mexican""",4.5,483,1
"""Aazjxg21VH2cncWYBAv68Q""","""Italian""",4.5,520,1
"""7OMGEtFWT6sdd9TVuoGqJQ""","""Japanese""",4.5,364,1
"""wLzJbddDixAEZrF7VT6_hw""","""Italian""",4.5,213,1
"""x0k5kFArHLijdY8-NEQ7Xg""","""Indian""",4.5,1162,1
"""8fr5FYU1ip0phERt1mrekg""","""Japanese""",4.5,640,1
"""m2_ZNFos5ugAwe8ft8eaEw""","""Thai""",4.5,290,1
"""MeQU-nGaQvX12VXYOyzavQ""","""Italian""",4.5,209,1
"""SP4bvMvxel_UPdof_er3HA""","""Indian""",4.5,342,1
"""z5hRX3iJ5Ty_S38iG_WY3Q""","""American""",4.5,1063,1
"""pGr5QuQU7Ur5GHLvXbT8bw""","""Italian""",4.5,1053,1
"""JUPxlDVMxuRSsqMcH6RCVg""","""Japanese""",4.5,1386,1
"""jvPYm9rYK-5ddnjU30Oz4Q""","""American""",4.5,213,1
"""qBGKigOGn_flCx1apxPzlA""","""Italian""",4.5,281,1
"""L3REPLCvQpMapYPd_fkS-A""","""Mexican""",4.5,350,1
"""unWoFZeSWa0DK1YMekO_Uw""","""American""",4.5,404,1
"""0vg2Z-HPwkyVVX613j2ysg""","""Chinese""",4.5,262,1
"""FsuJ7VC5vxX3wcLhFrb97Q""","""Korean""",4.5,382,1
"""6Pa3-9piblDJu0l8u84Jhg""","""Mexican""",4.5,214,1
"""abZ-mEvF6Tj4hfyIg0lKwQ""","""Italian""",4.5,469,1
"""cbBT_vKaBJgt92p2Y7Rv2A""","""Italian""",4.5,203,1
"""z7H9ApIGopnDnQaglnPTzg""","""Italian""",4.5,208,1
"""xzN2k19JXDYjOWAhNw62aw""","""Italian""",4.5,207,1
"""fVbUVAiLiGgLA_nxBFxyww""","""American""",4.5,834,1
"""6NcU2JAznLr9dDHp6GgQyw""","""Indian""",4.5,202,1
"""i_rg-OLXQbpRUN7O3MeCeA""","""Italian""",4.5,209,1
"""N5UY113nNpeKdLPv0cbMjQ""","""American""",4.5,271,1
"""axqp3pGJXnTLgq2QrPyDyQ""","""Japanese""",4.5,360,1
"""9WgsvzaiXNAmmQGD0uQxFQ""","""Thai""",4.5,301,1
"""geNwD4ySIwA732eK2CvDZw""","""Italian""",4.5,266,1
"""fjE_lpKblhrN_48X2ca-7w""","""Mexican""",4.5,224,1
"""m2_ZNFos5ugAwe8ft8eaEw""","""Chinese""",4.5,290,1
"""ADHX7nBixDPVlq3OXhny0g""","""Italian""",4.5,408,1
"""6gzQLjzJk25ePm_JS7ZAug""","""American""",4.5,236,1
"""C69uTzoWFaIWcpnYf2LbRw""","""Japanese""",4.5,265,1
"""b8a-8u_A51v2IzyjLVsx6w""","""American""",4.5,2404,1
"""x7hsZRd_MyrUgAW91FM9qA""","""American""",4.5,277,1
"""R7EGjHWw0tNheY6-ahH8fQ""","""American""",4.5,327,1
"""f8TZ_ctcSwxwW8S69YKnwg""","""Italian""",4.5,1136,1
"""zj8Lq1T8KIC5zwFief15jg""","""Italian""",4.5,1722,1
"""EsHcyOLHaK76bQuU7bwiTw""","""Italian""",4.5,236,1
"""lxNU-aBq0yPwBDx-i89ahA""","""Indian""",4.5,1027,1
"""3GMHPnrkFAcqffw3T7JSdQ""","""Thai""",4.5,447,1
"""sCC7-hSdCkNPExejZT9BAQ""","""Indian""",4.5,1156,1
"""vscYK65F_MUH8WqACKSdog""","""American""",4.5,332,1
"""uEKiv6WEPg9dWj10HCur5A""","""Italian""",4.5,202,1
"""FlZ1zdVEKWv7dwqm8Uw8-w""","""Japanese""",4.5,639,1
"""5xI0Z0nqbaR-0FnPzg6VZg""","""American""",4.5,249,1
"""MfbVI5reXLIIs8Cc2HwgQw""","""Mexican""",4.5,1334,1
"""izRJeBfDQYJmd6ibIQ6Mfg""","""Indian""",4.5,275,1
"""diCW3Pj1PTVRSyol_d7cZw""","""Japanese""",4.5,430,1
"""TDyu1-6XF7r1jc13j7nDNA""","""American""",4.5,345,1
"""L5MrjGhBqQkwlguY0ilxqA""","""Italian""",4.5,323,1
"""bdKc4CSJPv-XLgxVwrtPrg""","""Italian""",4.5,283,1
"""95a04LtXLX6gePhPEwff9A""","""Mexican""",4.5,250,1
"""-OixbLnFLCzQclxCSbUQ8w""","""Thai""",4.5,1625,1
"""S6r0P0PItA9EYHV1nCiQgg""","""Indian""",4.5,308,1
"""MeUq9lombxM9alxs64tejQ""","""Italian""",4.5,444,1
